threads,BLTree,ConcurrentHMAP,BST,AVL,Snap,SkipList,SyncTMAP
1,1971390,,1055031,3278309,3051146,1293015,
3,4552347,,3433414,8007006,7979290,4971820,
2,2797808,,2266370,6206836,6083005,3530809,
5,3114893,,5057436,9220769,8896393,3331894,
4,3912896,,3911324,6579966,6874185,4337335,
6,4536243,,5010400,8519235,9319831,5812024,
